step,dice,dice/_macro,dice/_micro,iou,iou/_macro,iou/_micro,loss,loss/mean,loss/std,lr,momentum
1,0.9455965757369995,0.9455965757369995,0.9455965757369995,0.8968071341514587,0.8968071341514587,0.8968071341514587,0.6031829525232312,0.6031829525232312,0.026906762347351204,0.0001,0.9
2,0.965117335319519,0.965117335319519,0.965117335319519,0.9325864315032959,0.9325864315032959,0.9325864315032959,0.5817566463947302,0.5817566463947302,0.009895134332483757,0.0001,0.9
step,dice,dice/_macro,dice/_micro,iou,iou/_macro,iou/_micro,loss,loss/mean,loss/std,lr,momentum
1,0.9476592540740967,0.9476592540740967,0.9476592540740967,0.9005250334739685,0.9005250334739685,0.9005250334739685,0.11079370701313027,0.11079370701313027,0.08145072108153689,0.0001,0.9
2,0.9662628173828125,0.9662628173828125,0.9662628173828125,0.934727668762207,0.934727668762207,0.934727668762207,0.057909593380987674,0.057909593380987674,0.020252801119497548,0.0001,0.9
3,0.9694021344184875,0.9694021344184875,0.9694021344184875,0.9406211972236633,0.9406211972236633,0.9406211972236633,0.0494764408618212,0.0494764408618212,0.018768328279230875,0.0001,0.9
4,0.9704050421714783,0.9704050421714783,0.9704050421714783,0.9425113797187805,0.9425113797187805,0.9425113797187805,0.04732420256733899,0.04732420256733899,0.02187928921513126,0.0001,0.9
5,0.9713771939277649,0.9713771939277649,0.9713771939277649,0.9443471431732178,0.9443471431732178,0.9443471431732178,0.04544114905223251,0.04544114905223251,0.021046666173631552,0.0001,0.9
6,0.9726502299308777,0.9726502299308777,0.9726502299308777,0.9467567801475525,0.9467567801475525,0.9467567801475525,0.042538177698850634,0.042538177698850634,0.017838820440281636,0.0001,0.9
7,0.9749680161476135,0.9749680161476135,0.9749680161476135,0.9511585831642151,0.9511585831642151,0.9511585831642151,0.03854483141005043,0.03854483141005043,0.013575553847274172,0.0001,0.9
8,0.9744162559509277,0.9744162559509277,0.9744162559509277,0.9501088857650757,0.9501088857650757,0.9501088857650757,0.03924404626339673,0.03924404626339673,0.015680001411150418,0.0001,0.9
