step,dice,dice/_macro,dice/_micro,iou,iou/_macro,iou/_micro,loss,loss/mean,loss/std,lr,momentum
1,0.9563876390457153,0.9563876390457153,0.9563876390457153,0.9164201617240906,0.9164201617240906,0.9164201617240906,0.06417548411786562,0.06417548411786562,0.04766479940087291,0.0001,0.9
2,0.9655973315238953,0.9655973315238953,0.9655973315238953,0.9334831237792969,0.9334831237792969,0.9334831237792969,0.04295463802665474,0.04295463802665474,0.02515266137110049,0.0001,0.9
3,0.9679920673370361,0.9679920673370361,0.9679920673370361,0.9379696249961853,0.9379696249961853,0.9379696249961853,0.03841035692840818,0.03841035692840818,0.02036522225071271,0.0001,0.9
4,0.9698428511619568,0.9698428511619568,0.9698428511619568,0.9414513111114502,0.9414513111114502,0.9414513111114502,0.03623856329098345,0.03623856329098345,0.01953912414786619,0.0001,0.9
5,0.9715731143951416,0.9715731143951416,0.9715731143951416,0.9447178840637207,0.9447178840637207,0.9447178840637207,0.033555657851696,0.033555657851696,0.017443036342657543,0.0001,0.9
6,0.9714786410331726,0.9714786410331726,0.9714786410331726,0.9445391297340393,0.9445391297340393,0.9445391297340393,0.033697705418616504,0.033697705418616504,0.01712700873630773,0.0001,0.9
7,0.9721853733062744,0.9721853733062744,0.9721853733062744,0.9458759427070618,0.9458759427070618,0.9458759427070618,0.0326238679558039,0.0326238679558039,0.01790948186093477,0.0001,0.9
8,0.9732396602630615,0.9732396602630615,0.9732396602630615,0.9478741884231567,0.9478741884231567,0.9478741884231567,0.03134624742120506,0.03134624742120506,0.018023319248614247,0.0001,0.9
9,0.9733095765113831,0.9733095765113831,0.9733095765113831,0.9480068683624268,0.9480068683624268,0.9480068683624268,0.030886353425681575,0.030886353425681575,0.017053719453133623,0.0001,0.9
10,0.973887026309967,0.973887026309967,0.973887026309967,0.949103057384491,0.949103057384491,0.949103057384491,0.030760179926454977,0.030760179926454977,0.017327756178348443,0.0001,0.9
